"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"U3";"DIP-6_W7.62mm";1;"MOC3021M";;;
2;"U4";"LQFP-32_7x7mm_Pitch0.8mm";1;"ATMEGA8-16AU";;;
3;"U5";"ONSemi_QSE15x";1;"QSE159";;;
4;"R1,R4";"R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal";2;"100";;;
5;"R3";"R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal";1;"1k";;;
6;"R2";"R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal";1;"2k";;;
7;"U1";"DIP-16_W7.62mm";1;"ULN2003A";;;
8;"Y1";"Resonator-3pin_w8.0mm_h3.5mm";1;"4MHz";;;
9;"D4,D3,D2,D1";"LED_D4.0mm";4;"LED";;;
10;"SW4,SW3,SW2,SW1";"SW_PUSH_6mm_h5mm";4;"SW_Push";;;
11;"U2";"DIP-18_W7.62mm";1;"PIC16F84-XX/P";;;
